ID,NAME
6927,"FAZUL, Abdalla"
6927,"FAZUL, Abdallah Mohammed"
6927,"MOHAMMED, Fazul Abdilahi"
6927,"ADBALLAH, Fazul"
6927,"ABDALLA, Fazul"
6927,"MOHAMMED, Fazul"
6927,"FAZUL, Haroon"
6927,"FAZUL, Harun"
6927,"MUHAMAD, Fadil Abdallah"
6927,"HAROUN, Fadhil"
6927,"AISHA, Abu"
6927,"LUQMAN, Abu"
6927,"ALI, Fadel Abdallah Mohammed"
6927,"MOHAMMED, Fouad"
6931,"YASIN, Abdul Rahman Said"
6931,"YASIN, Aboud"
6931,"TAHA, Abdul Rahman S."
6931,"TAHER, Abdul Rahman S."
6935,ARMY OF MOHAMMED
6935,MOHAMMED'S ARMY
6935,TEHRIK UL-FURQAAN
6935,JAISH-E-MOHAMMED
6935,KHUDAMUL ISLAM
6935,KHUDDAM-UL-ISLAM
6935,KUDDAM E ISLAMI
6936,SOCIETY OF ISLAMIC COOPERATION
6936,JAM'IYAT AL TA'AWUN AL ISLAMIYYA
6936,JIT
6938,"SAIYID, Abd Al-Man'am"
6939,"AL-HAMATI, Muhammad"
6939,"AL-AHDAL, Muhammad Muhummad Abdullah"
6939,"AL-AHDAL, Mohamed Mohamed Abdullah"
6940,"AMIN, Muhammad"
6940,"AH HAQ, Dr. Amin"
6940,"UL-HAQ, Dr. Amin"
6941,"AL-JADAWI, Saqar"
6941,"AL-JADDAW, Saqr"
6946,"AYADI SHAFIQ, Ben Muhammad"
6946,"AYADI CHAFIK, Ben Muhammad"
6946,"AIADI, Ben Muhammad"
6946,"AIADY, Ben Muhammad"
6948,"HIJAZI, Raed M"
6948,"AL-HAWEN, Abu-Ahmad"
6948,"AL-MAGHRIBI, Rashid"
6948,"AL-AMRIKI, Abu-Ahmad"
6948,"AL-SHAHID, Abu-Ahmad"
6950,"AL-FILISTINI, Abu Qatada"
6950,"TAKFIRI, Abu Umr"
6950,"ABU UMAR, Abu Omar"
6950,"UTHMAN, Al-Samman"
6950,"UMAR, Abu Umar"
6950,"UTHMAN, Umar"
7006,"ALI, Sheikh Hassan Dahir Aweys"
7006,"AWES, Shaykh Hassan Dahir"
7114,AL-AQSA AL-ISLAMI BANK
7115,ARAB PALESTINIAN BEIT EL-MAL COMPANY
7115,BEIT AL MAL HOLDINGS
7115,BEIT EL MAL AL-PHALASTINI AL-ARABI AL-MUSHIMA AL-AAMA AL-MAHADUDA LTD.
7115,"PALESTINIAN ARAB BEIT EL MAL CORPORATION, LTD."
7116,OCCUPIED LAND FUND
7132,UMMAH TAMEER I-NAU
7132,UMMAH TAMIR I-NAU
7132,UMMAH TAMIR E-NAU
7132,RECONSTRUCTION OF THE MUSLIM UMMAH
7132,RECONSTRUCTION OF THE ISLAMIC COMMUNITY
7132,FOUNDATION FOR CONSTRUCTION
7132,RECONSTRUCTION FOUNDATION
7132,NATION BUILDING
7132,UMMAT TAMIR-I-PAU
7132,UMMAT TAMIR E-NAU
7133,"MAHMOOD, Sultan Bashiruddin"
7133,"MEKMUD, Sultan Baishiruddin"
7133,"MEHMOOD, Dr. Bashir Uddin"
7135,"MAJID, Abdul"
7135,"MAJEED, Chaudhry Abdul"
7138,"TUFAIL, Sheik Mohammed"
7138,"TUFAIL, S.M."
7140,LASHKAR E-TOIBA
7140,LASHKAR-I-TAIBA
7140,ARMY OF THE RIGHTEOUS
7140,ARMY OF THE PURE
7140,ARMY OF THE PURE AND RIGHTEOUS
7140,AL MANSOOREEN
7140,AL MANSOORIAN
7140,PAASBAN-E-KASHMIR
7140,PAASBAN-I-AHLE-HADITH
7140,PASBAN-E-KASHMIR
7140,PASBAN-E-AHLE-HADITH
7140,PAASBAN-E-AHLE-HADIS
7140,JAMAAT-UD-DAWA
7140,JAMA'AT AL-DAWA
7140,JAMAAT UD-DAAWA
7140,JAMAAT UL-DAWAH
7140,JAMAAT-UL-DAWA
7140,JAMA'AT-I-DAWAT
7140,JAMAIAT-UD-DAWA
7140,JAMA'AT-UD-DA'AWAH
7140,JAMA'AT-UD-DA'AWA
